,train,val,test
82,2470260-B,25015425B2,25017220B2
83,2470405-B2,25015820B,25017227B2
84,2470647-B2,25015863B2,25017338B3
85,2471237-B2,25016077B2,25017372B2
86,2471442-B3,25016903B4,25017716B2
87,2471595-B3,25017089B2,25017748B2
88,2471618-B3,25017242B2,25018002B2
89,2471884-B2,25017354B5,25018571B2
90,2471885-B2,25017383B2,25019102B4
91,2471921-B2,25018457B2,25019384B2
92,2471957-B,25019081B3,25019457B2
93,2471959-B2,25019352B2,25019468B2
94,2471963-B,25019716B2,25019776B2
95,2472453-B2,25019790B2,25019806B2
96,2472465-B2,25020760B3,25020257B2
97,2472471-B2,25021554B2,25020263B2
98,2472481-B2,25021668B2,25020573B3
99,2472500-B2,25021893B2,25020714B2
100,2472505-B,25021894B3,25020717B2
101,2472509-B4,25021901B2,25021291B2
102,2472509-B6,25022019B2,25021640B3
103,2473212-B4,25022038B2,25021658B3
104,2473218-B2,25022262B2,25021662B2
105,2473228-B2,25022343B3,25021911B2
106,2473394-B2,25023869B3,25023690B3
107,2473545-B2,25023869B4,25023814B
108,2473545-B3,25024302B4,25023934B2
109,2473549-B,25024855B3,25024142B2
110,2473600-B3,25025096B2,25024709B2
111,2473608-B2,25025109B2,25024732B2
112,2473621-B3,25025298B2,25024982B2
113,2473623-B2,25025567B3,25025083B2
114,2473738-B3,25025575B2,25025102B2
115,2474140-B3,25025788B2,25025240B
116,2474150-B3,25026669B2,25025251B
117,2474189-B7,25026798B2,25025953B2
118,2474291-B2,25027122B2,25027135B3
119,2474337-B3,25018592B,25018584B
120,2474500-B2,2490547B2,2490844B1
121,2474612-B2,2490978B2,2490964B2
122,2474638-B3,2491226B2,25001929B3
123,2474721-B,25002391B2,25001939B2
124,2475184-B2,25002496B2,25002073B3
125,2476295-B3,25009756B2,25009297B
126,2476358-B2,25015064B,25009529B2
127,2476376-B2,2460615-B4,2463367-B2
128,2476391-B2,2460943-B3,2476299-B2
129,2476750-B,2462939-B,2476693-B3
130,2476856-B2,2482883-B2,2477926-B4
131,2476983-B,2483850-B2,2483073-B3
132,2477053-B3,2484862-B3,2485536-B2
133,2477189-B2,2485164-B2,25013629B6
134,2477274-B3,2488302-B2,25015640B3
135,2477285-B2,25013189B4,25015867B2
136,2477476-B2,25014627B3,25017341B3
137,2477541-B2,25015215B2,25017342B2
138,2477577-B3,25015594B2,25017923B
139,2477695-B2,25015784B2,25018956B3
140,2477809-B3,25017730B2,25019294B1
141,2477814-B5,25018478B2,25019335B6
142,2477941-B2,25020232B,25019675B2
143,2477949-B2,25020799B5,25019705B2
144,2477977-B3,25021890B6,25020799B3
145,2481696-B4,25021922B2,25021421B2
146,2481703-B2,25023687B4,25021487B
147,2481750-B2,25023961B2,25021555B2
148,2482056-B9,25024254B2,25021558B2
149,2482483-B2,25024433B2,25021890B4
150,2482886-B2,25024765B2,25022584B3
151,2482896-B2,25025097B,25022613B2
152,2482947-B2,25025567B4,25023174B2
153,2482956-B,25026285B2,25023846B4
154,2483014-B4,25026499B3,25024982B1
155,2483211-B2,25026782B3,25025087B
156,2483868-B4,2490980B,25025293B2
157,2483961-B3,25028010B2,25025954B3
158,2483973-B1,25028014B4,25025975B2
159,2483993-B2,25028134B,25026509B
160,2484004-B2,25028520B3,25027181B5
161,2484209-B2,25029179B,2491579B
162,2484220-B3,25029425B,25027606B3
163,2484228-B,25029906B2,25028151B2
164,2484301-B2,25030157B3,25028151B3
165,2484463-B2,25030157B4,25028738B2
166,2484633-B2,25031706B2,25028868B2
167,2484743-B4,25032143B3,25030988B4
168,2484791-B3,25032179B3,25032143B2
169,2485059-B2,25032360B2,25032626B2
170,2485303-B2,25032788B4,25034940B10
171,2485318-B2,25033169B1,25036341B
172,2485322-B2,25033486B,25041732B
173,2485635-B2,25033894B2,25043126B2
174,2485803-B2,25034940B8,25043600B3
175,2485805-B,25034940B11,25045450B5
176,2486104-B1,25035354B3,25047077B2
177,2486165-B2,25036340B1,25047815B
178,2486191-B,25036634B2,25047844B2
179,2486262-B4,25042465B3,25047972B2
180,2486653-B2,25042830B2,25049669B3
181,2486653-B3,25045403B,25050888B3
182,2486687-B3,25045403B-1,25050984B2
183,2486812-B2,25045625B1,25052316B
184,2486813-B2,25045676B4,25053425B2
185,2486833-B2,25046631B2,25055784B2
186,2487140-B2,25047066B,25055857B2
187,2487143-B,25050345B2,25057865B1
188,2487146-B2,25050415B2,25058713B2
189,2487237-B2,25051207B5,25058746B4
190,2487246-B2,25055778B2,25059470B2
191,2487274-B2,25058118B3,25063676B
192,2487376-B2,25058627B2,25063676B2
193,2487388-B2,,
194,2487558-B2,,
195,2487656-B4,,
196,2487896-B2,,
197,2487935-B2,,
198,2487941-B2,,
199,2488044-B2,,
200,2488050-B3,,
201,2488344-B2,,
202,2488369-B2,,
203,2488477-B2,,
204,2488767-B,,
205,2488769-B2,,
206,2488806-B2,,
207,2488916-B2,,
208,2489131-B3,,
209,2489182-B2,,
210,2489203-B,,
211,2489331-B2,,
212,25012170B4,,
213,25012175B4,,
214,25012253B3,,
215,25012760B2,,
216,25012785B2,,
217,25012919B8,,
218,25013023B2,,
219,25013189B2,,
220,25013189B3,,
221,25013352B2,,
222,25013465B2,,
223,25013871B6,,
224,25013878B2,,
225,25014160B2,,
226,25014226B2,,
227,25014265B2,,
228,25014268B,,
229,25014311B2,,
230,25014318B,,
231,25015087B2,,
232,25015103B2,,
233,25015190B2,,
234,25015204B2,,
235,25015234B2,,
236,25015488B2,,
237,25015495B4,,
238,25015607B2,,
239,25015622B2,,
240,25015625B2,,
241,25015811B3,,
242,25015811B4,,
243,25015870B3,,
244,25016088B2,,
245,25016772B2,,
246,25016785B2,,
247,25016801B2,,
248,25016829B2,,
249,25016905B4,,
250,25016915B2,,
251,25016926B2,,
252,25017211B2,,
253,25017218B3,,
254,25017320B2,,
255,25017322B2,,
256,25017341B4,,
257,25017355B1,,
258,25017515B2,,
259,25017518B2,,
260,25017538B4,,
261,25017539B2,,
262,25017539B3,,
263,25017589B6,,
264,25017711B,,
265,25017718B2,,
266,25017738B2,,
267,25017767B2,,
268,25017932B2,,
269,25017948B3,,
270,25018050B2,,
271,25018453B2,,
272,25018910B2,,
273,25019107B,,
274,25019283B2,,
275,25019284B2,,
276,25019376B2,,
277,25019379B,,
278,25019508B4,,
279,25019621B2,,
280,25019621B4,,
281,25019773B3,,
282,25020282B2,,
283,25020291B2,,
284,25021120B4,,
285,25021164B2,,
286,25021171B2,,
287,25021197B2,,
288,25021260B2,,
289,25021419B1,,
290,25021474B,,
291,25021481B2,,
292,25021538B2,,
293,25021575B4,,
294,25021622B4,,
295,25021667B2,,
296,25021894B2,,
297,25021918B4,,
298,25021973B2,,
299,25022278B2,,
300,25022330B2,,
301,25022354B2,,
302,25022406B2,,
303,25023016B6,,
304,25023184B2,,
305,25023573B,,
306,25023590B3,,
307,25023590B4,,
308,25023687B2,,
309,25023930B2,,
310,25023936B2,,
311,25023977B2,,
312,25024243B2,,
313,25024310B3,,
314,25024431B,,
315,25024688B2,,
316,25024698B4,,
317,25024878B3,,
318,25024983B2,,
319,25025245B2,,
320,25025262B2,,
321,25025297B,,
322,25025506B,,
323,25025509B2,,
324,25025510B1,,
325,25025510B3,,
326,25025570B2,,
327,25025602B2,,
328,25025675B2,,
329,25025960B2,,
330,25026075B2,,
331,25026081B2,,
332,25026103B3,,
333,25026163B,,
334,25026180B2,,
335,25026254B2,,
336,25026291B2,,
337,25026740B2,,
338,25027167B2,,
339,25027290B2,,
340,25012148B3,,
341,25017073B2,,
342,2490526B3,,
343,2490750B4,,
344,2490820B2,,
345,2490820B3,,
346,2490837B2,,
347,2490860B2,,
348,2490963B2,,
349,2490972B8,,
350,2491131B2,,
351,2491191B2,,
352,2491191B3,,
353,2491275B2,,
354,2491560B2,,
355,25001965B2,,
356,25001966B2,,
357,25002238B,,
358,25002328B2,,
359,25002329B2,,
360,25002366B6,,
361,25002388B2,,
362,25002472B2,,
363,25002504B2,,
364,25002663B5,,
365,25002744B2,,
366,25002788B2,,
367,25002789B2,,
368,25002801B1,,
369,25002804B2,,
370,25002897B2,,
371,25002898B2,,
372,25002906B2,,
373,25002907B3,,
374,25003038B2,,
375,25009124B2,,
376,25009148B3,,
377,25009148B4,,
378,25009294B2,,
379,25009367B2,,
380,25009539B3,,
381,25009578B4,,
382,25009747B,,
383,2462468-B2,,
384,2462609-B2,,
385,2476286-B2,,
386,2482111-B2,,
387,2484660-B2,,
388,2484791-B2,,
389,2485276-B3,,
390,2485473-B2,,
391,2485632-B,,
392,2486102-B2,,
393,2487043-B,,
394,2487053-B2,,
395,2487063-B2,,
396,2487518-B,,
397,2487567-B2,,
398,2488040-B,,
399,2488335-B,,
400,2488960-B2,,
401,2488987-B2,,
402,25012737B4,,
403,25013062B2,,
404,25013977B2,,
405,25014298B2,,
406,25015052B3,,
407,25015191B2,,
408,25015191B3,,
409,25015421B3,,
410,25015471B,,
411,25015496B,,
412,25015608B2,,
413,25015640B5,,
414,25015798B2,,
415,25016027B,,
416,25016031B2,,
417,25016827B2,,
418,25017355B4,,
419,25017499B,,
420,25017500B,,
421,25017592B3,,
422,25017739B2,,
423,25017930B,,
424,25019094B8,,
425,25019273B,,
426,25019294B2,,
427,25019339B2,,
428,25019339B3,,
429,25019474B2,,
430,25019503B,,
431,25019629B2,,
432,25020353B2,,
433,25020556B4,,
434,25020714B4,,
435,25021196B2,,
436,25021277B3,,
437,25021277B4,,
438,25021665B2,,
439,25021665B3,,
440,25021672B,,
441,25021735B5,,
442,25022013B,,
443,25022344B2,,
444,25022458B2,,
445,25022584B2,,
446,25023327B3,,
447,25023687B3,,
448,25023828B,,
449,25023935B2,,
450,25023972B3,,
451,25024695B2,,
452,25024855B4,,
453,25024875B2,,
454,25025076B,,
455,25025291B,,
456,25025569B,,
457,25025616B,,
458,25025951B,,
459,25026103B2,,
460,25026144B2,,
461,25026144B3,,
462,25026294B3,,
463,25026752B,,
464,25026797B2,,
465,25027131B2,,
466,25027181B2,,
467,25027181B3,,
468,25027181B4,,
469,25027181B6,,
470,25027193B,,
471,2491552B,,
472,25002379B2,,
473,25002510B2,,
474,25009557B,,
475,25027636B2,,
476,25027718B2,,
477,25027723B4,,
478,25027770B,,
479,25028010B2a,,
480,25028010B3,,
481,25028014B5,,
482,25028014B6,,
483,25028014B7,,
484,25028147B3,,
485,25028186B2,,
486,25028210B2,,
487,25028514B,,
488,25028862B2,,
489,25028879B3,,
490,25028885B2,,
491,25029134B,,
492,25029425B2,,
493,25029425B3,,
494,25029560B2,,
495,25029565B5,,
496,25029737B2,,
497,25030118B2,,
498,25030334B2,,
499,25030619B2,,
500,25030630B,,
501,25030750B2,,
502,25030998B2,,
503,25031267B2,,
504,25031271B2,,
505,25031281B2,,
506,25031302B,,
507,25031385B4,,
508,25031387B2,,
509,25031411B3,,
510,25031706B,,
511,25032146B2,,
512,25032245B2,,
513,25032789B2,,
514,25033178B4,,
515,25033211B,,
516,25033447B4,,
517,25033482B2,,
518,25034245B2,,
519,25034327B2,,
520,25034929B2,,
521,25034940B9,,
522,25034940B12,,
523,25035354B,,
524,25035354B2,,
525,25035882B3,,
526,25035882B4,,
527,25036226B4,,
528,25036333B3,,
529,25041763B,,
530,25042220B2,,
531,25044694B,,
532,25045403B2,,
533,25045450B2,,
534,25045625B3,,
535,25045625B2,,
536,25045801B2,,
537,25045801B1,,
538,25045807B4,,
539,25045829B2,,
540,25045839B,,
541,25046521B3,,
542,25046855B,,
543,25047067B2,,
544,25047088B,,
545,25047401B2,,
546,25047538B2,,
547,25047835B3,,
548,25048256B2,,
549,25048633B2,,
550,25048669B2,,
551,25049966B2,,
552,25049999B2,,
553,25050326B,,
554,25050830B2,,
555,25050862B2,,
556,25050888B2,,
557,25051008B4,,
558,25052288B,,
559,25052654B2,,
560,25053683B2,,
561,25054130B1,,
562,25054130B2,,
563,25054212B,,
564,25054489B3,,
565,25054693B2,,
566,25055380B2,,
567,25055681B2,,
568,25057854B3,,
569,25057856B2,,
570,25057858B2,,
571,25058118B4,,
572,25059686B2,,
573,25060539B2,,
574,25061727B2,,
575,25062444B,,
576,25062891B4,,
577,25063228B5,,
578,25063371B2,,
579,25063642B,,
580,25063642B2,,
581,25063700B,,
