node_id,node_type,scale,class_id,class_name,concept_id,concept_text,conflict_type
high_concept::nonadeno_intercellular_bridges_high,high_concept,high,,,nonadeno_intercellular_bridges_high,A high magnification histopathology image showing squamous cell carcinoma with intercellular bridges.,
high_concept::nonadeno_keratinization_high,high_concept,high,,,nonadeno_keratinization_high,A high magnification histopathology image showing squamous cell carcinoma with keratinization and keratin pearls.,
high_concept::nonadeno_dense_eosinophilic_cytoplasm_high,high_concept,high,,,nonadeno_dense_eosinophilic_cytoplasm_high,A high magnification histopathology image showing squamous carcinoma cells with dense eosinophilic cytoplasm and distinct cell borders.,
high_concept::nonadeno_fibrosis_inflammation_high,high_concept,high,,,nonadeno_fibrosis_inflammation_high,A high magnification histopathology image showing fibrosis and chronic inflammatory infiltrates without adenocarcinoma cells.,
high_concept::nonadeno_hamartoma_high,high_concept,high,,,nonadeno_hamartoma_high,A high magnification histopathology image showing benign cartilage and respiratory epithelium in pulmonary hamartoma.,
high_concept::nonadeno_inflammatory_high,high_concept,high,,,nonadeno_inflammatory_high,"A high magnification histopathology image showing inflammatory cells, granulomas, or fibrosis without adenocarcinoma morphology.",
high_concept::nonadeno_nuclear_molding_high,high_concept,high,,,nonadeno_nuclear_molding_high,A high magnification histopathology image showing neuroendocrine tumor cells with nuclear molding and scant cytoplasm.,
high_concept::nonadeno_spindle_atypia_high,high_concept,high,,,nonadeno_spindle_atypia_high,A high magnification histopathology image showing atypical spindle tumor cells without gland formation or mucin production.,
high_concept::nonadeno_sarcomatoid_high,high_concept,high,,,nonadeno_sarcomatoid_high,A high magnification histopathology image showing spindle-shaped malignant tumor cells.,
high_concept::nonadeno_neuroendocrine_high,high_concept,high,,,nonadeno_neuroendocrine_high,A high magnification histopathology image showing neuroendocrine tumor cells with salt-and-pepper chromatin.,
high_concept::nonadeno_chondroid_matrix_high,high_concept,high,,,nonadeno_chondroid_matrix_high,A high magnification histopathology image showing chondroid or myxochondroid matrix characteristic of hamartomatous morphology.,
high_concept::nonadeno_chondromyxoid_matrix_high,high_concept,high,,,nonadeno_chondromyxoid_matrix_high,A high magnification histopathology image showing chondromyxoid matrix and benign stromal elements in pulmonary hamartoma.,
low_concept::adeno_mucinous,low_concept,low,,,adeno_mucinous,A low magnification histopathology image showing mucinous lung adenocarcinoma with extracellular mucin pools.,
low_concept::adeno_alveolar_replacement_low,low_concept,low,,,adeno_alveolar_replacement_low,A low magnification histopathology image showing atypical adenocarcinoma glands replacing pre-existing alveolar structures.,
low_concept::adeno_cribriform_low,low_concept,low,,,adeno_cribriform_low,A low magnification histopathology image showing lung adenocarcinoma with cribriform glandular architecture.,
low_concept::adeno_lepidic,low_concept,low,,,adeno_lepidic,A low magnification histopathology image showing lung adenocarcinoma with lepidic growth pattern.,
low_concept::adeno_glandular_infiltration_low,low_concept,low,,,adeno_glandular_infiltration_low,A low magnification histopathology image showing infiltrative gland-forming lung adenocarcinoma replacing alveolated lung parenchyma.,
low_concept::adeno_micropapillary,low_concept,low,,,adeno_micropapillary,A low magnification histopathology image showing lung adenocarcinoma with micropapillary clusters.,
low_concept::adeno_multifocal_glandular_low,low_concept,low,,,adeno_multifocal_glandular_low,A low magnification histopathology image showing multifocal irregular glandular proliferation consistent with lung adenocarcinoma.,
low_concept::adeno_desmoplastic_invasion_low,low_concept,low,,,adeno_desmoplastic_invasion_low,A low magnification histopathology image showing invasive adenocarcinoma glands within desmoplastic stroma.,
low_concept::adeno_solid,low_concept,low,,,adeno_solid,A low magnification histopathology image showing lung adenocarcinoma with solid growth pattern.,
low_concept::nonadeno_hamartoma_low,low_concept,low,,,nonadeno_hamartoma_low,A low magnification histopathology image showing pulmonary hamartoma with cartilage and benign mesenchymal components.,
low_concept::nonadeno_metastatic_low,low_concept,low,,,nonadeno_metastatic_low,A low magnification histopathology image showing metastatic tumor in the lung without primary lung adenocarcinoma morphology.,
low_concept::nonadeno_solid_nests_low,low_concept,low,,,nonadeno_solid_nests_low,A low magnification histopathology image showing solid non-gland-forming tumor nests without adenocarcinoma-type acinar structures.,
low_concept::nonadeno_fibroinflammatory_low,low_concept,low,,,nonadeno_fibroinflammatory_low,A low magnification histopathology image showing a fibroinflammatory lung lesion with scarring and no malignant gland formation.,
low_concept::nonadeno_inflammatory_low,low_concept,low,,,nonadeno_inflammatory_low,A low magnification histopathology image showing inflammatory or granulomatous lung lesion without malignant glandular structures.,
low_concept::nonadeno_organoid_neuroendocrine_low,low_concept,low,,,nonadeno_organoid_neuroendocrine_low,A low magnification histopathology image showing organoid nests and trabeculae consistent with neuroendocrine morphology.,
low_concept::nonadeno_benign_reactive_low,low_concept,low,,,nonadeno_benign_reactive_low,A low magnification histopathology image showing benign reactive lung tissue changes without adenocarcinoma morphology.,
low_concept::nonadeno_sarcomatoid_low,low_concept,low,,,nonadeno_sarcomatoid_low,A low magnification histopathology image showing sarcomatoid carcinoma with spindle cell morphology.,
low_concept::nonadeno_small_cell_low,low_concept,low,,,nonadeno_small_cell_low,A low magnification histopathology image showing a diffuse small blue cell neuroendocrine tumor growth pattern.,
conflict_type::high_scale_dominant_correct,conflict_type,both,,,,high_scale_dominant_correct,high_scale_dominant_correct
conflict_type::consistent_correct_support,conflict_type,both,,,,consistent_correct_support,consistent_correct_support
conflict_type::weak_or_mixed_conflict,conflict_type,both,,,,weak_or_mixed_conflict,weak_or_mixed_conflict
conflict_type::consistent_wrong_class_drift,conflict_type,both,,,,consistent_wrong_class_drift,consistent_wrong_class_drift
conflict_type::high_scale_dominant_wrong,conflict_type,both,,,,high_scale_dominant_wrong,high_scale_dominant_wrong
conflict_type::low_scale_dominant_correct,conflict_type,both,,,,low_scale_dominant_correct,low_scale_dominant_correct
