experiment,true_class_name,rank,prompt_text,prompt_concept,count,frequency
Concept-12 PEPS topk=3 tau=0.1,Adenocarcinoma,5,A low magnification histopathology image showing lung adenocarcinoma with cribriform glandular architecture.,cribriform glandular pattern,96,0.08156329651656755
Concept-12 PEPS topk=3 tau=0.1,NonAdenocarcinoma,1,"A high magnification histopathology image showing inflammatory cells, granulomas, or fibrosis without adenocarcinoma morphology.",inflammatory cells and granulomas,194,0.3362218370883882
Concept-12 PEPS topk=3 tau=0.1,NonAdenocarcinoma,2,A low magnification histopathology image showing benign reactive lung tissue changes without adenocarcinoma morphology.,benign reactive lung tissue,69,0.1195840554592721
Concept-12 PEPS topk=3 tau=0.1,NonAdenocarcinoma,3,A low magnification histopathology image showing a fibroinflammatory lung lesion with scarring and no malignant gland formation.,fibroinflammatory scar-like lesion,63,0.10918544194107452
Concept-12 PEPS topk=3 tau=0.1,NonAdenocarcinoma,4,A low magnification histopathology image showing metastatic tumor in the lung without primary lung adenocarcinoma morphology.,metastatic tumor in lung,51,0.08838821490467938
Concept-12 PEPS topk=3 tau=0.1,NonAdenocarcinoma,5,A low magnification histopathology image showing inflammatory or granulomatous lung lesion without malignant glandular structures.,inflammatory or granulomatous lesion,45,0.0779896013864818
Concept-12 PEPS topk=3 tau=0.15,Adenocarcinoma,1,A high magnification histopathology image showing gland-forming adenocarcinoma cells with vesicular chromatin and prominent nucleoli.,prominent nucleoli in gland-forming tumor cells,334,0.2719869706840391
Concept-12 PEPS topk=3 tau=0.15,Adenocarcinoma,2,A low magnification histopathology image showing infiltrative gland-forming lung adenocarcinoma replacing alveolated lung parenchyma.,infiltrative glandular adenocarcinoma,241,0.1962540716612378
Concept-12 PEPS topk=3 tau=0.15,Adenocarcinoma,3,A low magnification histopathology image showing lung adenocarcinoma with cribriform glandular architecture.,cribriform glandular pattern,238,0.19381107491856678
Concept-12 PEPS topk=3 tau=0.15,Adenocarcinoma,4,A low magnification histopathology image showing multifocal irregular glandular proliferation consistent with lung adenocarcinoma.,multifocal irregular glandular proliferation,121,0.0985342019543974
Concept-12 PEPS topk=3 tau=0.15,Adenocarcinoma,5,A high magnification histopathology image showing small floating clusters of adenocarcinoma cells without fibrovascular cores.,floating micropapillary clusters,109,0.08876221498371335
Concept-12 PEPS topk=3 tau=0.15,NonAdenocarcinoma,1,"A high magnification histopathology image showing inflammatory cells, granulomas, or fibrosis without adenocarcinoma morphology.",inflammatory cells and granulomas,148,0.24957841483979765
Concept-12 PEPS topk=3 tau=0.15,NonAdenocarcinoma,2,A low magnification histopathology image showing a fibroinflammatory lung lesion with scarring and no malignant gland formation.,fibroinflammatory scar-like lesion,83,0.1399662731871838
Concept-12 PEPS topk=3 tau=0.15,NonAdenocarcinoma,3,A high magnification histopathology image showing squamous cell carcinoma with keratinization and keratin pearls.,keratinization,64,0.10792580101180438
Concept-12 PEPS topk=3 tau=0.15,NonAdenocarcinoma,4,A low magnification histopathology image showing inflammatory or granulomatous lung lesion without malignant glandular structures.,inflammatory or granulomatous lesion,58,0.09780775716694773
Concept-12 PEPS topk=3 tau=0.15,NonAdenocarcinoma,5,A high magnification histopathology image showing chondromyxoid matrix and benign stromal elements in pulmonary hamartoma.,chondromyxoid matrix,56,0.09443507588532883
Concept-12 PEPS topk=5 tau=0.07,Adenocarcinoma,1,A high magnification histopathology image showing gland-forming adenocarcinoma cells with vesicular chromatin and prominent nucleoli.,prominent nucleoli in gland-forming tumor cells,493,0.3956661316211878
Concept-12 PEPS topk=5 tau=0.07,Adenocarcinoma,2,A low magnification histopathology image showing multifocal irregular glandular proliferation consistent with lung adenocarcinoma.,multifocal irregular glandular proliferation,419,0.3362760834670947
Concept-12 PEPS topk=5 tau=0.07,Adenocarcinoma,3,A low magnification histopathology image showing infiltrative gland-forming lung adenocarcinoma replacing alveolated lung parenchyma.,infiltrative glandular adenocarcinoma,89,0.07142857142857142
Concept-12 PEPS topk=5 tau=0.07,Adenocarcinoma,4,A low magnification histopathology image showing lung adenocarcinoma with lepidic growth pattern.,lepidic growth pattern,81,0.06500802568218299
Concept-12 PEPS topk=5 tau=0.07,Adenocarcinoma,5,A high magnification histopathology image showing atypical gland-forming tumor cells with pseudostratified nuclei.,atypical gland-forming tumor cells,50,0.04012841091492777
Concept-12 PEPS topk=5 tau=0.07,NonAdenocarcinoma,1,"A high magnification histopathology image showing inflammatory cells, granulomas, or fibrosis without adenocarcinoma morphology.",inflammatory cells and granulomas,233,0.3864013266998342
Concept-12 PEPS topk=5 tau=0.07,NonAdenocarcinoma,2,A low magnification histopathology image showing solid non-gland-forming tumor nests without adenocarcinoma-type acinar structures.,solid non-gland-forming tumor nests,80,0.13266998341625208
Concept-12 PEPS topk=5 tau=0.07,NonAdenocarcinoma,3,A low magnification histopathology image showing metastatic tumor in the lung without primary lung adenocarcinoma morphology.,metastatic tumor in lung,70,0.11608623548922056
Concept-12 PEPS topk=5 tau=0.07,NonAdenocarcinoma,4,A high magnification histopathology image showing squamous cell carcinoma with keratinization and keratin pearls.,keratinization,57,0.0945273631840796
Concept-12 PEPS topk=5 tau=0.07,NonAdenocarcinoma,5,A low magnification histopathology image showing inflammatory or granulomatous lung lesion without malignant glandular structures.,inflammatory or granulomatous lesion,54,0.08955223880597014
Concept-12 PEPS topk=5 tau=0.1,Adenocarcinoma,1,A high magnification histopathology image showing gland-forming adenocarcinoma cells with vesicular chromatin and prominent nucleoli.,prominent nucleoli in gland-forming tumor cells,543,0.438610662358643
Concept-12 PEPS topk=5 tau=0.1,Adenocarcinoma,2,A low magnification histopathology image showing multifocal irregular glandular proliferation consistent with lung adenocarcinoma.,multifocal irregular glandular proliferation,281,0.22697899838449112
Concept-12 PEPS topk=5 tau=0.1,Adenocarcinoma,3,A low magnification histopathology image showing infiltrative gland-forming lung adenocarcinoma replacing alveolated lung parenchyma.,infiltrative glandular adenocarcinoma,215,0.17366720516962844
Concept-12 PEPS topk=5 tau=0.1,Adenocarcinoma,4,A low magnification histopathology image showing lung adenocarcinoma with cribriform glandular architecture.,cribriform glandular pattern,84,0.06785137318255251
Concept-12 PEPS topk=5 tau=0.1,Adenocarcinoma,5,A high magnification histopathology image showing atypical gland-forming tumor cells with pseudostratified nuclei.,atypical gland-forming tumor cells,44,0.035541195476575124
Concept-12 PEPS topk=5 tau=0.1,NonAdenocarcinoma,1,"A high magnification histopathology image showing inflammatory cells, granulomas, or fibrosis without adenocarcinoma morphology.",inflammatory cells and granulomas,138,0.23115577889447236
Concept-12 PEPS topk=5 tau=0.1,NonAdenocarcinoma,2,A high magnification histopathology image showing squamous cell carcinoma with keratinization and keratin pearls.,keratinization,98,0.16415410385259632
Concept-12 PEPS topk=5 tau=0.1,NonAdenocarcinoma,3,A low magnification histopathology image showing a fibroinflammatory lung lesion with scarring and no malignant gland formation.,fibroinflammatory scar-like lesion,73,0.12227805695142378
Concept-12 PEPS topk=5 tau=0.1,NonAdenocarcinoma,4,A low magnification histopathology image showing solid non-gland-forming tumor nests without adenocarcinoma-type acinar structures.,solid non-gland-forming tumor nests,60,0.10050251256281408
Concept-12 PEPS topk=5 tau=0.1,NonAdenocarcinoma,5,A low magnification histopathology image showing inflammatory or granulomatous lung lesion without malignant glandular structures.,inflammatory or granulomatous lesion,39,0.06532663316582915
Concept-12 PEPS topk=5 tau=0.15,Adenocarcinoma,1,A high magnification histopathology image showing gland-forming adenocarcinoma cells with vesicular chromatin and prominent nucleoli.,prominent nucleoli in gland-forming tumor cells,457,0.3700404858299595
Concept-12 PEPS topk=5 tau=0.15,Adenocarcinoma,2,A low magnification histopathology image showing infiltrative gland-forming lung adenocarcinoma replacing alveolated lung parenchyma.,infiltrative glandular adenocarcinoma,262,0.21214574898785424
Concept-12 PEPS topk=5 tau=0.15,Adenocarcinoma,3,A low magnification histopathology image showing lung adenocarcinoma with cribriform glandular architecture.,cribriform glandular pattern,199,0.16113360323886639
Concept-12 PEPS topk=5 tau=0.15,Adenocarcinoma,4,A low magnification histopathology image showing multifocal irregular glandular proliferation consistent with lung adenocarcinoma.,multifocal irregular glandular proliferation,165,0.13360323886639677
Concept-12 PEPS topk=5 tau=0.15,Adenocarcinoma,5,A high magnification histopathology image showing lepidic tumor cells growing along alveolar septa.,lepidic tumor cells along alveolar septa,73,0.05910931174089069
Concept-12 PEPS topk=5 tau=0.15,NonAdenocarcinoma,1,A low magnification histopathology image showing a fibroinflammatory lung lesion with scarring and no malignant gland formation.,fibroinflammatory scar-like lesion,156,0.25161290322580643
Concept-12 PEPS topk=5 tau=0.15,NonAdenocarcinoma,2,"A high magnification histopathology image showing inflammatory cells, granulomas, or fibrosis without adenocarcinoma morphology.",inflammatory cells and granulomas,128,0.2064516129032258
Concept-12 PEPS topk=5 tau=0.15,NonAdenocarcinoma,3,A high magnification histopathology image showing chondroid or myxochondroid matrix characteristic of hamartomatous morphology.,chondroid or myxochondroid matrix,112,0.18064516129032257
Concept-12 PEPS topk=5 tau=0.15,NonAdenocarcinoma,4,A high magnification histopathology image showing chondromyxoid matrix and benign stromal elements in pulmonary hamartoma.,chondromyxoid matrix,53,0.08548387096774193
Concept-12 PEPS topk=5 tau=0.15,NonAdenocarcinoma,5,A low magnification histopathology image showing benign reactive lung tissue changes without adenocarcinoma morphology.,benign reactive lung tissue,50,0.08064516129032258
